PART LIST : 

A001;B001;C001;D001;E001;F001;F002;G001;H001;H002;I001;J001;K001;L001;L002;L003;M001;M002;N001;O001;P001
Folio position;Title of folio;Folio number;Designation.qet;Position;Label;Label formula;Designation;Description;Plants;Annotation;Manufacturer;Order number;Supplier;Quantity;Unity;Auxiliary block 1;Auxiliary block 2;Internal number;Location;Function
1;;1/3;Emergency stop key release;G10;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B5;;;;;;;;;;;;;;;;
1;;1/3;Magneto-thermal circuit breaker GV;B2;ANA SİGORTA;;;;;;;;;;;;;;;
1;;1/3;Coil;B8;;;;;;;;;;;;;;;;
1;;1/3;Push-button;G5;;;;;;;;;;;;;;;;
1;;1/3;Emergency stop key release;G8;;;;;;;;;;;;;;;;
1;;1/3;Push-button;G8;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B13;;;;;;;;;;;;;;;;
1;;1/3;Three-pole source + PE +N;A2;;;;;;;;;;;;;;;;
1;;1/3;Contact power contactor;D2;KESİM KONTAKTÖR;;LC1D09BD;;;;SHNEIDER;;;;;;;;;
1;;1/3;Emergency stop key release;G7;;;;;;;;;;;;;;;;
1;;1/3;Series motor three-phase;H2;;;;;;;;;;;;;;;;
1;;1/3;Coil;D1;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC;D2;;;;;;;;;;;;;;;;
1;;1/3;Push-button;G5;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;D4;;;;;;;;;;;;;;;;
1;;1/3;Coil;B14;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E7;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;G12;mv;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B6;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;G12;syh;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E5;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;G14;mv;;;;;;;;;;;;;;;
1;;1/3;Magneto-thermal circuit breaker ;F2;TERMİK ;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E5;;;;;;;;;;;;;;;;
1;;1/3;Single-pole source + neutral;A15;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E6;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E6;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E8;;;;;;;;;;;;;;;;
1;;1/3;Series motor three-phase;C14;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E7;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B12;;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B7;;;;;;;;;;;;;;;;
1;;1/3;Altivar 31;B16;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;G13;sr;;;;;;;;;;;;;;;
1;;1/3;Contact Motorized NC/NO;B11;;;;;;;;;;;;;;;;
1;;1/3;Limitswitch (NO);G13;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E6;;;;;;;;;;;;;;;;
1;;1/3;Neutral source;E1;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E8;;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;G13;khv;;;;;;;;;;;;;;;
1;;1/3;Terminal fuse;E8;;;;;;;;;;;;;;;;
1;;1/3;Limitswitch (NO);E13;;;;;;;;;;;;;;;;
1;;1/3;Neutral source;B8;;;;;;;;;;;;;;;;
1;;1/3;Neutral source;B14;;;;;;;;;;;;;;;;
1;;1/3;Thermal relay NC;F3;;;;;;;;;;;;;;;;
1;;1/3;Fuse NC;C3;;;;;;;;;;;;;;;;
2;;2/3;Potentiometer;I4;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G5;;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;I6;;;;;;;;;;;;;;;;
2;;2/3;Series motor three-phase;E4;KESME MOTOR;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;K11;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G3;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G2;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G4;;;;;;;;;;;;;;;;
2;;2/3;role;C10;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;J11;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G3;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G4;;;;;;;;;;;;;;;;
2;;2/3;Magneto-thermal circuit breaker ;D6;;Termik;;;;;;;;;;;;;;
2;;2/3;Three-pole source + PEN;B2;;;;;;;;;;;;;;;;
2;;2/3;kont02;C7;Kontaktor;;;;;;;;;;;;;;;
2;;2/3;Altivar 31;D19;;;;;;;;;;;;;;;;
2;;2/3;Magneto-thermal circuit breaker GV;B3;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G4;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G5;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;K11;;;;;;;;;;;;;;;;
2;;2/3;Series motor three-phase;C18;İLERİ GERİ MOTOR;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;I11;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G3;;;;;;;;;;;;;;;;
2;;2/3;Limitswitch (NC);K13;İLERİ LSWITCH;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;J4;;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;J7;;;;;;;;;;;;;;;;
2;;2/3;Limitswitch (NC);I13;;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;I2;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;J11;;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;J2;;;;;;;;;;;;;;;;
2;;2/3;Pushbutton;J6;;;;;;;;;;;;;;;;
2;;2/3;role;C13;;;;;;;;;;;;;;;;
2;;2/3;Terminal fuse;G5;;;;;;;;;;;;;;;;
2;;2/3;Fuse NC;D4;;;;;;;;;;;;;;;;
2;;2/3;Fuse NC;B16;;;;;;;;;;;;;;;;

